node_id,project_id,vsn,address,lat,lon,description
0000001E0610E539,AoT Chicago,07E," Cicero Ave & Madison St Chicago IL",41.880497,-87.745268,AoT Chicago (S) [C]
0000001E06113D83,AoT Chicago,06A," Clybourn Ave & North Ave Chicago IL",41.910922, -87.649518,AoT Chicago (S) [C]
0000001E06113AD8,AoT Chicago,062," Ashland Ave & Roosevelt Rd Chicago IL",41.866786,-87.666306,AoT Chicago (S) [C]
0000001E06113107,AoT Chicago,072," 7801 S Lawndale Ave Chicago IL",41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd}
0000001E06112E77,AoT Chicago,06B," Ashland Ave & 59th St Chicago IL",41.786756,-87.664343,AoT Chicago (S) [C]
0000001E0611441E,AoT Chicago,067," Ashland Ave & 47th Chicago IL",41.808594,-87.665048,AoT Chicago (S) [C]
0000001E06114503,AoT Chicago,095," Ave O & 126th Chicago IL",41.666078,-87.539374,AoT Chicago (S) [C]
0000001E0611462F,AoT Chicago,081," Wallace St & Pershing Rd Chicago IL",41.823527,-87.641054,AoT Chicago (S) [C]
0000001E06115369,AoT Chicago,082," Pulaski Rd & Addison St Chicago IL",41.946373,-87.727382,AoT Chicago (S) [C]
0000001E06113CFF,AoT Chicago,070," 7801 S Lawndale Ave Chicago IL",41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd}
0000001E06109F62,AoT Chicago,076," LSD Marine Dr & Irving Park Rd Chicago IL",41.954626,-87.645247,AoT Chicago (S) [C]
0000001E061144C0,AoT Chicago,097," Pulaski Rd & 71st St Chicago IL",41.764122,-87.72242,AoT Chicago (S) [C]
0000001E061146D6,AoT Chicago,091," Halsted St & Division St Chicago IL",41.903632,-87.648093,AoT Chicago (S) [C]
0000001E06113DBC,AoT Chicago,096," Ave L & 100th St Chicago IL",41.713867,-87.536509,AoT Chicago (S) [C]
0000001E06113D22,AoT Chicago,092," Kedzie Ave & 51st St Chicago IL",41.800846,-87.703739,AoT Chicago (S) [C]
0000001E061146BC,AoT Chicago,079," Ashland Ave & Elston Ave Chicago IL",41.918733,-87.668257,AoT Chicago (S) [C]
0000001E06113ACE,AoT Chicago,077," Martin Luther King Dr & 35th St Chicago IL",41.83107,-87.617298,AoT Chicago (S) [C]
0000001E061146CB,AoT Chicago,07C," Lake Shore Drive & Fullerton Ave Chicago IL",41.926170, -87.631533,AoT Chicago (S) [C]
0000001E06114FD4,AoT Chicago,073," Martin Luther King Dr & Garfield Blvd Chicago IL",41.794477,-87.615957,AoT Chicago (S) [C]
0000001E06113AD6,AoT Chicago,075," Milwaukee Ave & Wood St Chicago IL",41.906481,-87.671373,AoT Chicago (S) [C]
