node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp
001e0610ee4c,Waggle_Dronebears,ADM01,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
001e0610eefa,Waggle_Dronebears,ADM02,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
001e0610ebee,Waggle_Dronebears,ADM03,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
001e0610ef30,Waggle_Dronebears,ADM04,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
001e0610ef0e,Waggle_Dronebears,ADM05,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
001e0610ee63,Waggle_Dronebears,ADM06,TBD,0.0,0.0,Dronebears Waggle Node,2018/01/01 00:00:00,
