ontology,subsystem,sensor,parameter,hrf_unit,hrf_minval,hrf_maxval,datasheet
/system/environment/humidity,lightsense,hih6130,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hih6130.pdf"
/system/environment/temperature,lightsense,hih6130,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hih6130.pdf"
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_x,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf"
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_y,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf"
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_z,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf"
/sensing/physical/uv,lightsense,ml8511,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/ml8511.pdf"
/sensing/physical/light,lightsense,mlx75305,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/mlx75305c.pdf"
/system/environment/temperature,lightsense,tmp421,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/tmp421.pdf"
/sensing/physical/light,lightsense,tsl250rd,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tsl250rd.pdf"
/sensing/physical/ir,lightsense,tsl260rd,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/tsl260rd.pdf"
/system/other/humidity,chemsense,lps25h,pressure,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/lps25h.pdf"
/system/other/pressure,chemsense,lps25h,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/lps25h.pdf"
/system/other/humidity,chemsense,sht25,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/sht25.pdf"
/system/other/temperature,chemsense,sht25,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/sht25.pdf"
/system/environment/ir,chemsense,si1145,ir_intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf"
/system/environment/uv,chemsense,si1145,uv_intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf"
/system/environment/light,chemsense,si1145,visible_light_intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf"
/system/other/id,chemsense,chemsense,id,,,,"https://github.com/waggle-sensor/sensors"
/sensing/air_quality/gases/co,chemsense,co,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/co.pdf"
/sensing/air_quality/gases/h2s,chemsense,h2s,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/h2s.pdf"
/sensing/air_quality/gases/no2,chemsense,no2,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/no2.pdf"
/sensing/air_quality/gases/o3,chemsense,o3,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/o3.pdf"
/sensing/air_quality/gases/so2,chemsense,so2,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/so2.pdf"
/sensing/air_quality/gases/reducing_gases,chemsense,reducing_gases,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
/sensing/air_quality/gases/oxidizing_gases,chemsense,oxidizing_gases,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
/system/other/temperature,chemsense,at0,temperature,,,,"https://github.com/waggle-sensor/sensors"
/system/other/temperature,chemsense,at1,temperature,,,,"https://github.com/waggle-sensor/sensors"
/system/other/temperature,chemsense,at2,temperature,,,,"https://github.com/waggle-sensor/sensors"
/system/other/temperature,chemsense,at3,temperature,,,,"https://github.com/waggle-sensor/sensors"
/system/other/id,alphasense,opc_n2,fw,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/sensing/air_quality/particulates/particle_count,alphasense,opc_n2,bins,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/sensing/air_quality/particulates/pm_1,alphasense,opc_n2,pm1,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/sensing/air_quality/particulates/pm_2_5,alphasense,opc_n2,pm2_5,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/sensing/air_quality/particulates/pm_10,alphasense,opc_n2,pm10,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/system/other/flow_rate,alphasense,opc_n2,sample_flow_rate,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/system/other/sampling_period,alphasense,opc_n2,sampling_period,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
/system/node_controller/uptime,nc,uptime,uptime,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/uptime,nc,uptime,idletime,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/loadavg,nc,loadavg,load_1,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/loadavg,nc,loadavg,load_5,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/loadavg,nc,loadavg,load_10,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/memory_usage,nc,mem,total,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/memory_usage,nc,mem,free,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_broadband,rx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_broadband,tx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_lan,rx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_lan,tx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_usb,rx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/node_controller/network_usage,nc,net_usb,tx,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/uptime,ep,uptime,uptime,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/uptime,ep,uptime,idletime,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/loadavg,ep,loadavg,load_1,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/loadavg,ep,loadavg,load_5,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/loadavg,ep,loadavg,load_10,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/memory_usage,ep,mem,total,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/edge_processor/memory_usage,ep,mem,free,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/uptime,wagman,uptime,uptime,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/current,wagman,current,wagman,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/current,wagman,current,nc,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/current,wagman,current,ep,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/current,wagman,current,cs,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/failures,wagman,failures,nc,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/failures,wagman,failures,ep,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/failures,wagman,failures,cs,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,temperatures,nc_heatsink,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,temperatures,ep_heatsink,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,temperatures,battery,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,temperatures,brainplate,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,temperatures,powersupply,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/port_mode,wagman,enabled,nc,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/port_mode,wagman,enabled,ep,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/port_mode,wagman,enabled,cs,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/heartbeat,wagman,heartbeat,nc,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/heartbeat,wagman,heartbeat,ep,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/wagman/heartbeat,wagman,heartbeat,cs,,,,"https://github.com/waggle-sensor/core/blob/master/scripts/status-service"
/system/environment/temperature,wagman,htu21d,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
/system/environment/temperature,wagman,htu21d,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
/sensing/physical/audio/spl,audio,microphone,octave_1_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_2_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_3_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_4_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_5_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_6_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_7_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_8_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_9_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_10_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/physical/audio/spl,audio,microphone,octave_total_intensity,,,,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,point_3um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,point_5um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,1um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,2_5um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,5um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/particle_count,plantower,pms7003,10um_particle,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/pm_1,plantower,pms7003,pm1_atm,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/pm_2_5,plantower,pms7003,pm25_atm,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
/sensing/air_quality/particulates/pm_10,plantower,pms7003,pm10_atm,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf"
