node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp
001e06113ae8,Waggle_Others,093,Surya,0.0,0.0,AoT Node (S) [C],2018/01/01 00:00:00,
001e061146d4,Waggle_Others,099,"Torrence Ave & Brainard Ave ,(05/31/2018)",0.0,0.0,AoT Chicago (S) [C],2018/01/01 00:00:00,
001e06109401,Waggle_Others,09A,"Cottage Grove Ave & 115th St ,(05/31/2018)",0.0,0.0,AoT Chicago (S) [C],2018/01/01 00:00:00,
001e0611463b,Waggle_Others,0A9,Surya,0.0,0.0,AoT Node (S) [CP],2018/01/01 00:00:00,
001e0611538f,Waggle_Others,0AB,"Surya,02:04/02/18, 03:/04/17/18, 04:/04/23/18",0.0,0.0,AoT Node (S) [C],2018/01/01 00:00:00,
001e06107c9e,Waggle_Others,BRT03,TCS 5E12,0.0,0.0,"Brain on Test, YK",2018/01/01 00:00:00,
001e0610889b,Waggle_Others,IUH0,Phoenix,0.0,0.0,Intel Test Node,2018/01/01 00:00:00,
020000000001,Waggle_Others,LNK5,"10 Hudson Yards, NYC",0.0,0.0,"Indoors, bb-cartlink1",2018/01/01 00:00:00,
001e0610ba64,Waggle_Others,RET,TCS 4302,0.0,0.0,Humidor (T),2018/01/01 00:00:00,
001e06107d97,Waggle_Others,Ret_waggle_006,CBG,0.0,0.0,NU-CBG Uglybox #1,2018/01/01 00:00:00,
001e061131d6,Waggle_Others,SPS1,Surya,0.0,0.0,C1 connected to SPS1,2018/01/01 00:00:00,
001e0610ea32,Waggle_Others,SPS2,Surya,0.0,0.0,C1 connected to SPS2,2018/01/01 00:00:00,
001e06200335,Waggle_Others,THS1,Surya,0.0,0.0,Testing Rig 1,2018/01/01 00:00:00,
020000000000,Waggle_Others,VN0,,0.0,0.0,Virtual Node,2018/01/01 00:00:00,
001e06200162,Waggle_Others,W000,TCS 5th floor,0.0,0.0,"Ugly image collector, YK",2018/01/01 00:00:00,
001e061088bf,Waggle_Others,W001,TCS 3134,0.0,0.0,Uglybox - Pete SaT,2018/01/01 00:00:00,
001e06107e4c,Waggle_Others,W002,,0.0,0.0,None,2018/01/01 00:00:00,
001e061080a7,Waggle_Others,W004,Purdue (12/07/2017),0.0,0.0,Ugly box with solar/wind power,2018/01/01 00:00:00,
001e06107d7f,Waggle_Others,W007,,0.0,0.0,,2018/01/01 00:00:00,
001e061089e5,Waggle_Others,W009,"Chattanooga, TN",0.0,0.0,David Lary's Ugly Box #2,2018/01/01 00:00:00,
001e0620051e,Waggle_Others,W00A,TCS outside,0.0,0.0,David Lary's Ugly Box #3,2018/01/01 00:00:00,
001e06200325,Waggle_Others,W00B,ANL 5th Floor,0.0,0.0,,2018/01/01 00:00:00,
001e061088c8,Waggle_Others,W00X,"Chattanooga, TN",0.0,0.0,David Lary's Ugly Box #1,2018/01/01 00:00:00,
001e06108a8a,Waggle_Others,W037,TCS Outside,0.0,0.0,Waggle node,2018/01/01 00:00:00,
001e0610ef73,Waggle_Others,057,"Bldg 484 Backyard, EVS Field Site",41.701503,-87.994764,AoT Node (S) [C] {Argonne},2018/08/16 00:00:00,
001e0610f725,Waggle_Others,057,"Field by Bldg 484 Backyard, EVS Field Site",41.701272,-87.995976,AoT Node (S) [C] {Argonne},2018/08/16 00:00:00,
001e0610ba46,Waggle_Others,004,State St & Jackson Blvd Chicago IL,41.878377,-87.627678,AoT Chicago (S) [C],2017/10/09 00:00:00,
001e061134f3,Waggle_Others,OZO1,"Bldg 484, EVS Field Site",41.701503,-87.994764,EVS Ozone Node,2018/01/01 00:00:00,
